Age,Gender,DrinkLevel,Proportion
14 to 17,Male,abstain,76.5
18 to 24,Male,abstain,23.6
25 to 29,Male,abstain,21.5
30 to 39,Male,abstain,20.1
40 to 49,Male,abstain,18.9
50 to 59,Male,abstain,14.8
60 to 69,Male,abstain,14
70+,Male,abstain,18.8
18+,Male,abstain,18.3
14 to 17,Male,safe,21.6
18 to 24,Male,safe,44
25 to 29,Male,safe,48.5
30 to 39,Male,safe,46.8
40 to 49,Male,safe,46.8
50 to 59,Male,safe,52.9
60 to 69,Male,safe,47.9
70+,Male,safe,47.3
18+,Male,safe,47.9
14 to 17,Male,risky,1.9
18 to 24,Male,risky,32.3
25 to 29,Male,risky,30
30 to 39,Male,risky,33.1
40 to 49,Male,risky,34.3
50 to 59,Male,risky,32.3
60 to 69,Male,risky,38.1
70+,Male,risky,34
18+,Male,risky,33.8
14 to 17,Female,abstain,63.1
18 to 24,Female,abstain,19.5
25 to 29,Female,abstain,21.3
30 to 39,Female,abstain,24.5
40 to 49,Female,abstain,19.2
50 to 59,Female,abstain,16.9
60 to 69,Female,abstain,19.6
70+,Female,abstain,30.5
18+,Female,abstain,22
14 to 17,Female,safe,35.4
18 to 24,Female,safe,55.7
25 to 29,Female,safe,64
30 to 39,Female,safe,59.3
40 to 49,Female,safe,61.7
50 to 59,Female,safe,61.2
60 to 69,Female,safe,58.7
70+,Female,safe,54.9
18+,Female,safe,59.2
14 to 17,Female,risky,1.4
18 to 24,Female,risky,24.8
25 to 29,Female,risky,14.7
30 to 39,Female,risky,16.1
40 to 49,Female,risky,19.1
50 to 59,Female,risky,21.9
60 to 69,Female,risky,21.7
70+,Female,risky,14.6
14+,Female,risky,17.8
18+,Female,risky,18.8
